Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount,Date
1 DY,-0.4556,0,-0.4556,-0.46193,1.000051,01/01/2022
1 MO,-0.465,0,-0.465,-0.4707,1.000439,01/01/2022
2 MO,-0.469,0,-0.469,-0.47503,1.000807,01/01/2022
3 MO,-0.471,0,-0.471,-0.47731,1.001217,01/01/2022
6 MO,-0.465,0,-0.465,-0.47185,1.002381,01/01/2022
9 MO,-0.4668,0,-0.4668,-0.47399,1.003591,01/01/2022
1 YR,-0.441,0,-0.441,-0.44824,1.004529,01/01/2022
18 MO,-0.378,0,-0.378,-0.38435,1.005798,01/01/2022
2 YR,-0.3126,0,-0.3126,-0.31824,1.006411,01/01/2022
3 YR,-0.1952,0,-0.1952,-0.19915,1.006025,01/01/2022
4 YR,-0.11025,0,-0.11025,-0.11284,1.004539,01/01/2022
5 YR,-0.05505,0,-0.05505,-0.05667,1.002844,01/01/2022
6 YR,-0.0183,0,-0.0183,-0.01923,1.001156,01/01/2022
7 YR,0.0265,0,0.0265,0.02641,0.998149,01/01/2022
8 YR,0.08015,0,0.08015,0.08114,0.993518,01/01/2022
9 YR,0.1374,0,0.1374,0.13971,0.987479,01/01/2022
10 YR,0.1902,0,0.1902,0.19389,0.980766,01/01/2022
12 YR,0.2848,0,0.2848,0.29146,0.965583,01/01/2022
15 YR,0.3853,0,0.3853,0.39584,0.94227,01/01/2022
20 YR,0.4388,0,0.4388,0.45092,0.913649,01/01/2022
25 YR,0.4188,0,0.4188,0.42816,0.898395,01/01/2022
30 YR,0.3722,0,0.3722,0.3776,0.892807,01/01/2022
1 DY,-0.495,0,-0.495,-0.50188,1.000041,01/02/2022
1 MO,-0.495,0,-0.495,-0.50197,1.000413,01/02/2022
2 MO,-0.493,0,-0.493,-0.50011,1.00085,01/02/2022
3 MO,-0.4869,0,-0.4869,-0.49413,1.001233,01/02/2022
6 MO,-0.47265,0,-0.47265,-0.48003,1.00241,01/02/2022
9 MO,-0.44575,0,-0.44575,-0.45306,1.003419,01/02/2022
1 YR,-0.39925,0,-0.39925,-0.40614,1.004092,01/02/2022
18 MO,-0.2699,0,-0.2699,-0.27489,1.004136,01/02/2022
2 YR,-0.1469,0,-0.1469,-0.1502,1.003025,01/02/2022
3 YR,0.0151,0,0.0151,0.0144,0.999567,01/02/2022
4 YR,0.1096,0,0.1096,0.11059,0.995577,01/02/2022
5 YR,0.1659,0,0.1659,0.16797,0.991623,01/02/2022
6 YR,0.219,0,0.219,0.22214,0.986742,01/02/2022
7 YR,0.25805,0,0.25805,0.26203,0.981783,01/02/2022
8 YR,0.29875,0,0.29875,0.30368,0.975958,01/02/2022
9 YR,0.34165,0,0.34165,0.34772,0.969153,01/02/2022
10 YR,0.38145,0,0.38145,0.38868,0.961837,01/02/2022
12 YR,0.45195,0,0.45195,0.46155,0.94606,01/02/2022
15 YR,0.52185,0,0.52185,0.5341,0.922929,01/02/2022
20 YR,0.54535,0,0.54535,0.55746,0.894403,01/02/2022
25 YR,0.50565,0,0.50565,0.51368,0.879372,01/02/2022
30 YR,0.45555,0,0.45555,0.45949,0.871111,01/02/2022
1 DY,-0.4874,0,-0.4874,-0.49417,1.000041,01/03/2022
1 MO,-0.4802,0,-0.4802,-0.4874,1.000454,01/03/2022
2 MO,-0.4797,0,-0.4797,-0.4868,1.000841,01/03/2022
3 MO,-0.476,0,-0.476,-0.48314,1.001245,01/03/2022
6 MO,-0.478,0,-0.478,-0.48533,1.002503,01/03/2022
9 MO,-0.448,0,-0.448,-0.45529,1.003486,01/03/2022
1 YR,-0.422,0,-0.422,-0.42914,1.004324,01/03/2022
18 MO,-0.2775,0,-0.2775,-0.28255,1.004282,01/03/2022
2 YR,-0.1474,0,-0.1474,-0.15071,1.003035,01/03/2022
3 YR,0.0305,0,0.0305,0.03005,0.999097,01/03/2022
4 YR,0.1531,0,0.1531,0.15483,0.993813,01/03/2022
5 YR,0.23165,0,0.23165,0.23491,0.988304,01/03/2022
6 YR,0.2908,0,0.2908,0.2953,0.982406,01/03/2022
7 YR,0.3592,0,0.3592,0.36533,0.974692,01/03/2022
8 YR,0.4285,0,0.4285,0.43655,0.965621,01/03/2022
9 YR,0.4931,0,0.4931,0.5032,0.955669,01/03/2022
10 YR,0.5524,0,0.5524,0.56464,0.945027,01/03/2022
12 YR,0.641,0,0.641,0.6568,0.924127,01/03/2022
15 YR,0.743,0,0.743,0.76381,0.891637,01/03/2022
20 YR,0.749,0,0.749,0.76697,0.857666,01/03/2022
25 YR,0.697,0,0.697,0.70798,0.837638,01/03/2022
30 YR,0.635,0,0.635,0.63928,0.825327,01/03/2022
1 DY,-0.25,0,-0.25,-0.25347,1.000035,01/04/2022
1 MO,-0.466,0,-0.466,-0.44679,1.000416,01/04/2022
2 MO,-0.462,0,-0.462,-0.45576,1.000837,01/04/2022
3 MO,-0.46055,0,-0.46055,-0.45822,1.001193,01/04/2022
6 MO,-0.38315,0,-0.38315,-0.38595,1.001979,01/04/2022
9 MO,-0.2686,0,-0.2686,-0.27234,1.002084,01/04/2022
1 YR,-0.11685,0,-0.11685,-0.12001,1.001214,01/04/2022
18 MO,0.22525,0,0.22525,0.22491,0.996604,01/04/2022
2 YR,0.48735,0,0.48735,0.49034,0.990175,01/04/2022
3 YR,0.7535,0,0.7535,0.76098,0.977286,01/04/2022
4 YR,0.86005,0,0.86005,0.86967,0.96565,01/04/2022
5 YR,0.91575,0,0.91575,0.92653,0.954609,01/04/2022
6 YR,0.98005,0,0.98005,0.99252,0.942034,01/04/2022
7 YR,1.01735,0,1.01735,1.03075,0.930231,01/04/2022
8 YR,1.05615,0,1.05615,1.07078,0.917742,01/04/2022
9 YR,1.09485,0,1.09485,1.11095,0.90463,01/04/2022
10 YR,1.13175,0,1.13175,1.14947,0.891217,01/04/2022
12 YR,1.19245,0,1.19245,1.21317,0.86432,01/04/2022
15 YR,1.23345,0,1.23345,1.25557,0.828052,01/04/2022
20 YR,1.18255,0,1.18255,1.19603,0.786944,01/04/2022
25 YR,1.08195,0,1.08195,1.08209,0.762754,01/04/2022
30 YR,1.057,0,1.057,1.0551,0.728421,01/04/2022
1 DY,-0.429,0,-0.429,-0.43496,1.000036,01/05/2022
1 MO,-0.46595,0,-0.46595,-0.47024,1.000425,01/05/2022
2 MO,-0.4451,0,-0.4451,-0.45094,1.000791,01/05/2022
3 MO,-0.43205,0,-0.43205,-0.43822,1.001129,01/05/2022
6 MO,-0.2488,0,-0.2488,-0.25438,1.001297,01/05/2022
9 MO,-0.0351,0,-0.0351,-0.03847,1.000293,01/05/2022
1 YR,0.1873,0,0.1873,0.18632,0.998128,01/05/2022
18 MO,0.58205,0,0.58205,0.58581,0.991196,01/05/2022
2 YR,0.858,0,0.858,0.86554,0.982768,01/05/2022
3 YR,1.094,0,1.094,1.10542,0.967235,01/05/2022
4 YR,1.207,0,1.207,1.22046,0.952227,01/05/2022
5 YR,1.28995,0,1.28995,1.30518,0.936724,01/05/2022
6 YR,1.2948,0,1.2948,1.30924,0.924319,01/05/2022
7 YR,1.3474,0,1.3474,1.36357,0.908828,01/05/2022
8 YR,1.4053,0,1.4053,1.42391,0.892197,01/05/2022
9 YR,1.4669,0,1.4669,1.48866,0.874394,01/05/2022
10 YR,1.5267,0,1.5267,1.55204,0.856058,01/05/2022
12 YR,1.62,0,1.62,1.65157,0.82003,01/05/2022
15 YR,1.67435,0,1.67435,1.70797,0.773737,01/05/2022
20 YR,1.6066,0,1.6066,1.62427,0.722344,01/05/2022
25 YR,1.4618,0,1.4618,1.45359,0.695088,01/05/2022
30 YR,1.4612,0,1.4612,1.45581,0.645879,01/05/2022
1 DY,-0.192,0,-0.192,-0.19467,1.000032,01/06/2022
1 MO,-0.432,0,-0.432,-0.42333,1.000383,01/06/2022
2 MO,-0.3918,0,-0.3918,-0.39094,1.000675,01/06/2022
3 MO,-0.2912,0,-0.2912,-0.29326,1.000772,01/06/2022
6 MO,0.0024,0,0.0024,0.00033,0.999998,01/06/2022
9 MO,0.257,0,0.257,0.25701,0.998066,01/06/2022
1 YR,0.5036,0,0.5036,0.50548,0.994889,01/06/2022
18 MO,0.869,0,0.869,0.87528,0.986874,01/06/2022
2 YR,1.09375,0,1.09375,1.10263,0.9781,01/06/2022
3 YR,1.295,0,1.295,1.30702,0.961445,01/06/2022
4 YR,1.405,0,1.405,1.41897,0.944712,01/06/2022
5 YR,1.484,0,1.484,1.49966,0.927645,01/06/2022
6 YR,1.535,0,1.535,1.55174,0.910827,01/06/2022
7 YR,1.591,0,1.591,1.60965,0.893244,01/06/2022
8 YR,1.657,0,1.657,1.67873,0.874169,01/06/2022
9 YR,1.717,0,1.717,1.74196,0.854732,01/06/2022
10 YR,1.778,0,1.778,1.80691,0.834486,01/06/2022
12 YR,1.87685,0,1.87685,1.91307,0.794544,01/06/2022
15 YR,1.9449,0,1.9449,1.98494,0.742251,01/06/2022
20 YR,1.90435,0,1.90435,1.92939,0.679602,01/06/2022
25 YR,1.80365,0,1.80365,1.80396,0.636714,01/06/2022
30 YR,1.85525,0,1.85525,1.87077,0.570214,01/06/2022
1 DY,-0.483,0,-0.483,-0.48971,1.000067,01/07/2022
1 MO,-0.3692,0,-0.3692,-0.38757,1.000372,01/07/2022
2 MO,-0.2628,0,-0.2628,-0.28004,1.000506,01/07/2022
3 MO,-0.1193,0,-0.1193,-0.13634,1.000359,01/07/2022
6 MO,0.224,0,0.224,0.21173,0.99891,01/07/2022
9 MO,0.4817,0,0.4817,0.47344,0.996401,01/07/2022
1 YR,0.6763,0,0.6763,0.67064,0.993243,01/07/2022
18 MO,0.98495,0,0.98495,0.98505,0.985187,01/07/2022
2 YR,1.1433,0,1.1433,1.14627,0.977182,01/07/2022
3 YR,1.3159,0,1.3159,1.32314,0.960839,01/07/2022
4 YR,1.41545,0,1.41545,1.42541,0.944357,01/07/2022
5 YR,1.53255,0,1.53255,1.54614,0.92541,01/07/2022
6 YR,1.625,0,1.625,1.64187,0.90594,01/07/2022
7 YR,1.709,0,1.709,1.72945,0.885728,01/07/2022
8 YR,1.786,0,1.786,1.81033,0.864915,01/07/2022
9 YR,1.87,0,1.87,1.89964,0.842498,01/07/2022
10 YR,1.95,0,1.95,1.98561,0.819598,01/07/2022
12 YR,2.096,0,2.096,2.14488,0.772752,01/07/2022
15 YR,2.208,0,2.208,2.26649,0.711392,01/07/2022
20 YR,2.16355,0,2.16355,2.19995,0.643616,01/07/2022
25 YR,2.04595,0,2.04595,2.04727,0.59907,01/07/2022
30 YR,2.044,0,2.044,2.04571,0.540974,01/07/2022
1 DY,0.041,0,0.041,0.04157,0.999997,01/08/2022
1 MO,0.06,0,0.06,0.05973,0.999943,01/08/2022
2 MO,0.1966,0,0.1966,0.19429,0.999665,01/08/2022
3 MO,0.3005,0,0.3005,0.29896,0.99923,01/08/2022
6 MO,0.5956,0,0.5956,0.59692,0.996963,01/08/2022
9 MO,0.7625,0,0.7625,0.76556,0.994249,01/08/2022
1 YR,0.8527,0,0.8527,0.85636,0.991426,01/08/2022
18 MO,0.94925,0,0.94925,0.95584,0.985623,01/08/2022
2 YR,1.0112,0,1.0112,1.01815,0.979706,01/08/2022
3 YR,1.0722,0,1.0722,1.08057,0.967988,01/08/2022
4 YR,1.121,0,1.121,1.13049,0.955699,01/08/2022
5 YR,1.199,0,1.199,1.21053,0.941175,01/08/2022
6 YR,1.28135,0,1.28135,1.29548,0.925084,01/08/2022
7 YR,1.333,0,1.333,1.34882,0.909768,01/08/2022
8 YR,1.3955,0,1.3955,1.414,0.892836,01/08/2022
9 YR,1.453,0,1.453,1.47436,0.875557,01/08/2022
10 YR,1.5063,0,1.5063,1.53069,0.857891,01/08/2022
12 YR,1.6078,0,1.6078,1.63924,0.821245,01/08/2022
15 YR,1.687,0,1.687,1.7236,0.77196,01/08/2022
20 YR,1.63655,0,1.63655,1.65873,0.717409,01/08/2022
25 YR,1.54495,0,1.54495,1.54798,0.678806,01/08/2022
30 YR,1.598,0,1.598,1.61417,0.615831,01/08/2022
1 DY,0.024,0,0.024,0.02433,0.999997,01/09/2022
1 MO,0.5415,0,0.5415,0.48718,0.999546,01/09/2022
2 MO,0.694,0,0.694,0.66268,0.998784,01/09/2022
3 MO,0.883,0,0.883,0.85764,0.99777,01/09/2022
6 MO,1.342,0,1.342,1.32741,0.993259,01/09/2022
9 MO,1.6507,0,1.6507,1.63962,0.98759,01/09/2022
1 YR,1.827,0,1.827,1.81579,0.981811,01/09/2022
18 MO,1.99455,0,1.99455,1.99323,0.970359,01/09/2022
2 YR,2.081,0,2.081,2.07934,0.958993,01/09/2022
3 YR,2.101,0,2.101,2.10243,0.938605,01/09/2022
4 YR,2.12495,0,2.12495,2.12825,0.918018,01/09/2022
5 YR,2.16155,0,2.16155,2.16683,0.897002,01/09/2022
6 YR,2.1861,0,2.1861,2.19274,0.876407,01/09/2022
7 YR,2.2171,0,2.2171,2.22559,0.855425,01/09/2022
8 YR,2.2526,0,2.2526,2.26346,0.834061,01/09/2022
9 YR,2.2924,0,2.2924,2.3063,0.812251,01/09/2022
10 YR,2.3371,0,2.3371,2.35494,0.789773,01/09/2022
12 YR,2.41,0,2.41,2.43498,0.746272,01/09/2022
15 YR,2.45765,0,2.45765,2.48622,0.688242,01/09/2022
20 YR,2.36215,0,2.36215,2.36512,0.622752,01/09/2022
25 YR,2.21175,0,2.21175,2.17773,0.579825,01/09/2022
30 YR,2.19308,0,2.19308,2.16009,0.522706,01/09/2022
1 DY,0.769,0,0.769,0.77967,0.999915,01/10/2022
1 MO,0.8655,0,0.8655,0.86859,0.999191,01/10/2022
2 MO,1.158,0,1.158,1.15476,0.997946,01/10/2022
3 MO,1.3598,0,1.3598,1.35746,0.996473,01/10/2022
6 MO,1.8398,0,1.8398,1.83927,0.990721,01/10/2022
9 MO,2.1474,0,2.1474,2.14469,0.983913,01/10/2022
1 YR,2.3567,0,2.3567,2.34844,0.976601,01/10/2022
18 MO,2.5617,0,2.5617,2.56289,0.96205,01/10/2022
2 YR,2.67305,0,2.67305,2.67053,0.947713,01/10/2022
3 YR,2.73115,0,2.73115,2.7305,0.920937,01/10/2022
4 YR,2.78085,0,2.78085,2.78186,0.894352,01/10/2022
5 YR,2.83075,0,2.83075,2.83371,0.867625,01/10/2022
6 YR,2.89,0,2.89,2.89591,0.84017,01/10/2022
7 YR,2.911,0,2.911,2.91745,0.814956,01/10/2022
8 YR,2.937,0,2.937,2.94488,0.789786,01/10/2022
9 YR,2.965,0,2.965,2.97491,0.764669,01/10/2022
10 YR,2.995,0,2.995,3.00769,0.739883,01/10/2022
12 YR,3.035,0,3.035,3.05128,0.693048,01/10/2022
15 YR,3.01075,0,3.01075,3.01816,0.635473,01/10/2022
20 YR,2.81435,0,2.81435,2.77324,0.573838,01/10/2022
25 YR,2.58585,0,2.58585,2.49028,0.536234,01/10/2022
30 YR,2.52625,0,2.52625,2.42768,0.482374,01/10/2022
1 DY,1.369,0,1.369,1.38799,0.999886,01/11/2022
1 MO,1.4006,0,1.4006,1.41734,0.998681,01/11/2022
2 MO,1.56035,0,1.56035,1.57384,0.997287,01/11/2022
3 MO,1.714,0,1.714,1.72665,0.995563,01/11/2022
6 MO,2.0929,0,2.0929,2.10298,0.989512,01/11/2022
9 MO,2.303,0,2.303,2.30809,0.982761,01/11/2022
1 YR,2.4699,0,2.4699,2.46745,0.975496,01/11/2022
18 MO,2.58355,0,2.58355,2.58895,0.961808,01/11/2022
2 YR,2.6253,0,2.6253,2.62552,0.948572,01/11/2022
3 YR,2.6198,0,2.6198,2.62045,0.924198,01/11/2022
4 YR,2.60235,0,2.60235,2.60281,0.900931,01/11/2022
5 YR,2.60675,0,2.60675,2.60768,0.87757,01/11/2022
6 YR,2.62515,0,2.62515,2.62724,0.853916,01/11/2022
7 YR,2.642,0,2.642,2.64518,0.830608,01/11/2022
8 YR,2.666,0,2.666,2.67106,0.807308,01/11/2022
9 YR,2.69285,0,2.69285,2.70027,0.784021,01/11/2022
10 YR,2.72085,0,2.72085,2.73099,0.760732,01/11/2022
12 YR,2.76905,0,2.76905,2.78443,0.715687,01/11/2022
15 YR,2.77875,0,2.77875,2.79274,0.65746,01/11/2022
20 YR,2.6325,0,2.6325,2.61083,0.592937,01/11/2022
25 YR,2.43295,0,2.43295,2.36348,0.553523,01/11/2022
30 YR,2.418,0,2.418,2.35596,0.492876,01/11/2022
1 DY,1.278,0,1.278,1.29573,0.999823,01/12/2022
1 MO,1.69605,0,1.69605,1.67005,0.9984,01/12/2022
2 MO,1.783,0,1.783,1.77455,0.996748,01/12/2022
3 MO,1.93155,0,1.93155,1.92591,0.995,01/12/2022
6 MO,2.2263,0,2.2263,2.22425,0.988669,01/12/2022
9 MO,2.3907,0,2.3907,2.3862,0.98199,01/12/2022
1 YR,2.47385,0,2.47385,2.46446,0.975393,01/12/2022
